Planet Name,Host Star,Orbital Period (days),Radius (Re),Mass (Me),Semi-major Axis (AU),Eccentricity,Star Temp (K),Star Mass (Mo),Distance (pc),Equil. Temp (K),Stellar Flux (Se),HZ Ratio,Habitable
Kepler-6 b,Kepler-6,3.235,13.316,,,,5613.000,,587.039,,,,No
Kepler-6 b,Kepler-6,3.235,13.103,205.636,0.044,0.060,5647.000,1.114,587.039,1326.108,733.266,0.037,No
Kepler-6 b,Kepler-6,3.235,14.617,212.310,0.049,,5647.000,1.209,587.039,1333.543,749.849,0.037,No
Kepler-6 b,Kepler-6,3.235,11.070,,0.045,0.000,5826.000,1.138,587.039,1259.981,597.587,0.041,No
Kepler-6 b,Kepler-6,3.235,13.410,,0.043,0.000,5640.000,1.047,587.039,1355.138,799.614,0.035,No
Kepler-6 b,Kepler-6,3.235,13.410,,0.043,0.000,5640.000,1.047,587.039,1355.138,799.614,0.035,No
Kepler-6 b,Kepler-6,3.235,13.101,,0.044,,5660.000,1.090,587.039,1335.178,753.534,0.036,No
Kepler-6 b,Kepler-6,3.235,,,,,5613.000,0.990,587.039,,,,No
Kepler-6 b,Kepler-6,,12.902,,,,5660.000,,587.039,,,,No
Kepler-6 b,Kepler-6,3.235,,,,,5647.000,1.209,587.039,,,,No
Kepler-6 b,Kepler-6,3.235,,,,,5613.000,0.990,587.039,,,,No
Kepler-6 b,Kepler-6,3.235,13.410,,0.043,0.000,5640.000,1.047,587.039,1355.138,799.614,0.035,No
Kepler-6 b,Kepler-6,3.235,13.103,201.186,0.044,,5647.000,1.114,587.039,1327.601,736.574,0.037,No
Kepler-6 b,Kepler-6,3.235,14.830,212.619,0.046,0.000,5647.000,1.209,587.039,1374.522,846.356,0.034,No
Kepler-6 b,Kepler-6,3.235,,,,,5613.000,0.990,587.039,,,,No
Kepler-6 b,Kepler-6,3.235,13.060,,0.043,0.000,5640.000,1.047,587.039,1355.138,799.614,0.035,No
Kepler-6 b,Kepler-6,3.235,,,,,5647.000,1.209,587.039,,,,No
Kepler-6 b,Kepler-6,3.235,13.380,,,,5690.000,1.050,587.039,,,,No
Kepler-491 b,Kepler-491,4.225,8.547,,0.052,,5522.000,1.044,630.785,1060.363,299.753,0.058,No
Kepler-491 b,Kepler-491,4.225,,,,,5501.000,0.960,630.785,,,,No
Kepler-491 b,Kepler-491,4.225,9.160,,0.052,0.000,5649.000,1.071,630.785,1117.939,370.355,0.052,No
Kepler-491 b,Kepler-491,4.225,9.000,,0.052,0.000,5574.000,1.025,630.785,1111.088,361.360,0.053,No
Kepler-491 b,Kepler-491,4.225,8.889,,,,5501.000,,630.785,,,,No
Kepler-491 b,Kepler-491,4.225,8.920,,,,5582.000,1.040,630.785,,,,No
Kepler-491 b,Kepler-491,,8.523,,,,5522.000,,630.785,,,,No
Kepler-491 b,Kepler-491,4.225,9.160,,0.052,0.000,5649.000,1.071,630.785,1117.939,370.355,0.052,No
Kepler-491 b,Kepler-491,4.225,,,,,5501.000,0.960,630.785,,,,No
Kepler-491 b,Kepler-491,4.225,10.000,,0.052,0.000,5541.000,1.047,630.785,1159.219,428.161,0.048,No
Kepler-491 b,Kepler-491,4.225,9.160,,0.052,0.000,5649.000,1.071,630.785,1117.939,370.355,0.052,No
Kepler-257 b,Kepler-257,2.383,2.670,,0.033,0.000,5188.000,0.868,780.256,1236.859,554.916,0.042,No
Kepler-257 b,Kepler-257,2.383,,,,,4972.000,0.820,780.256,,,,No
Kepler-257 b,Kepler-257,2.383,2.201,,0.034,,5118.000,0.916,780.256,1097.081,343.479,0.054,No
Kepler-257 b,Kepler-257,2.383,,,,,4972.000,0.820,780.256,,,,No
Kepler-257 b,Kepler-257,2.383,,,,,4972.000,0.820,780.256,,,,No
Kepler-257 b,Kepler-257,2.383,2.220,,,,5209.000,0.850,780.256,,,,No
Kepler-257 b,Kepler-257,2.383,2.670,,0.033,0.000,5188.000,0.868,780.256,1236.859,554.916,0.042,No
Kepler-257 b,Kepler-257,2.383,2.670,,0.033,0.000,5188.000,0.868,780.256,1236.859,554.916,0.042,No
Kepler-257 b,Kepler-257,2.383,2.610,,0.034,,5180.000,,780.256,1261.728,600.909,0.041,No
Kepler-257 b,Kepler-257,2.383,2.000,,0.032,0.000,5058.000,0.740,780.256,1079.992,322.573,0.056,No
Kepler-257 b,Kepler-257,2.383,2.740,,0.033,0.000,5188.000,0.868,780.256,1236.859,554.916,0.042,No
Kepler-216 b,Kepler-216,7.694,2.230,,,,6142.000,1.110,1187.470,,,,No
Kepler-216 b,Kepler-216,7.694,1.910,,0.079,0.000,6277.000,1.085,1187.470,1003.304,240.257,0.065,No
Kepler-216 b,Kepler-216,7.694,,,,,6093.450,1.140,1187.470,,,,No
Kepler-216 b,Kepler-216,7.694,1.910,,0.079,0.000,6277.000,1.085,1187.470,1003.304,240.257,0.065,No
Kepler-216 b,Kepler-216,7.694,2.867,,0.079,,6119.000,1.126,1187.470,1190.475,476.242,0.046,No
Kepler-216 b,Kepler-216,7.694,2.120,,0.077,0.000,6086.000,1.013,1187.470,1068.777,309.381,0.057,No
Kepler-216 b,Kepler-216,7.694,,,,,6093.450,1.140,1187.470,,,,No
Kepler-216 b,Kepler-216,7.693,1.960,,0.079,0.000,6278.000,1.129,1187.470,1009.458,246.206,0.064,No
Kepler-216 b,Kepler-216,7.694,1.910,,0.079,0.000,6277.000,1.085,1187.470,1003.304,240.257,0.065,No
Kepler-216 b,Kepler-216,7.694,,,,,6093.450,1.140,1187.470,,,,No
